"","...1","X","datecollected","latitude","longitude","project_shortcode","catalogNumber","length","timeofday","interaction_order","data_source","mean.chlorophyll","zone","date","temp","bottom_temp","salinity","east_velo","north_velo","region"
"213",213,213,2006-04-22,30.378,-86.862,"USMCOB","USMCOB-RC44018",0.99,00:00:00,1,"mark-recapture",NA,9,2006-04-22,23.6075014472008,23.1804864630103,34.0418713632971,0.109866634011269,-0.043336283415556,"FL_Panhandle"
"214",214,214,2006-04-25,30.267,-87.585,"USMCOB","USMCOB-RC44181",1.02,00:00:00,2,"mark-recapture",5.39424443244934,10,2006-04-25,25.0159916952252,23.4383068308234,21.3950010482222,0.294198431074619,0.0463881343603134,"NCentral_GOA_Shelf"
"215",215,215,2006-04-26,30.315,-87.203,"USMCOB","USMCOB-RC44090",0.97,00:00:00,1,"mark-recapture",NA,10,2006-04-26,24.298928797245,23.7796258404851,28.7011322099715,0.244148075580597,-0.0573747977614403,"FL_Panhandle"
"216",216,216,2006-04-28,30.271,-85.986,"USMCOB","USMCOB-RC44202",0.84,00:00:00,1,"mark-recapture",NA,8,2006-04-28,22.8435621187091,21.8928495123982,34.8811303731054,0.083010345697403,-0.0506607256829739,"FL_Panhandle"
"217",217,217,2006-04-28,30.315,-87.203,"USMCOB","USMCOB-RC44186",0.84,00:00:00,1,"mark-recapture",0.90762048959732,10,2006-04-28,22.7007354944944,23.4588152691722,32.3953977786005,0.0323496200144291,0.0573747977614403,"FL_Panhandle"
"218",218,218,2006-04-28,30.378,-86.862,"USMCOB","USMCOB-RC42043",0.61,00:00:00,1,"mark-recapture",NA,9,2006-04-28,23.0940580442548,23.3342997506261,34.6736045088619,0.0152592547237873,0.0476088747382164,"FL_Panhandle"
"219",219,219,2006-05-01,30.315,-87.203,"USMCOB","USMCOB-RC44197",1.14,00:00:00,1,"mark-recapture",NA,10,2006-05-01,22.4663533419371,22.4385204613209,34.7834711428732,-0.185552537441254,-0.0939970090985298,"FL_Panhandle"
"220",220,220,2006-05-05,29.346683,-88.28205,"USMCOB","USMCOB-RC42512",0.91,00:00:00,1,"mark-recapture",NA,11,2006-05-05,23.6858729794621,19.7116306051612,28.4112063702196,0.0701925717294216,-0.0939970090985298,"NCentral_GOA_Shelf"
"221",221,221,2006-05-05,30.074,-84.185,"USMCOB","USMCOB-RC43512",0.79,00:00:00,2,"mark-recapture",NA,7,2006-05-05,24.6702780202031,24.63951536268,35.7585375197232,0.0592059083282948,0.0183111056685448,"FL_Panhandle"
"222",222,222,2006-05-09,28.54,-90.11,"USMCOB","USMCOB-RC37824",0.97,00:00:00,2,"mark-recapture",NA,13,2006-05-09,26.0172429531813,20.1181371510029,30.4803613107651,-0.0506607256829739,0.153202917426825,"NCentral_GOA_Shelf"
"223",223,223,2006-05-13,26.14,-81.81,"USMCOB","USMCOB-RC37683",1.02,00:00:00,2,"mark-recapture",NA,4,2006-05-13,27.776573985815,27.779503762722,37.4431592412293,0.076906643807888,-0.179448835551739,"WFL_Shelf"
"224",224,224,2006-05-13,30.063,-88.052,"USMCOB","USMCOB-RC40660",1.03,00:00:00,2,"mark-recapture",2.82361048460007,11,2006-05-13,24.2315439283848,22.9138767644763,17.2597430180758,0.289925839751959,-0.169072542339563,"NCentral_GOA_Shelf"
"225",225,225,2006-05-20,32.26,-80.67,"USMCOB","USMCOB-RC37139",NA,00:00:00,2,"mark-recapture",NA,7,2006-05-20,NA,NA,NA,NA,NA,"EFL_Shelf"
"226",226,226,2006-06-01,30.001317,-88.866233,"USMCOB","USMCOB-SH435",0.75,00:00:00,1,"mark-recapture",NA,11,2006-06-01,28.1889400854707,30.636036247015,17.9921872448176,-0.0390636920928955,-0.0225836969912052,"NCentral_GOA_Shelf"
"227",227,227,2006-06-03,28.662,-90.11,"USMCOB","USMCOB-RC44005",1.12,00:00:00,2,"mark-recapture",NA,13,2006-06-03,27.5949278175831,19.598834194243,29.9859614577144,-0.0402844324707985,-0.00061037018895149,"NCentral_GOA_Shelf"
"228",228,228,2006-06-06,29.988,-88.215,"USMCOB","USMCOB-RC41665",NA,00:00:00,2,"mark-recapture",2.39980047941208,11,2006-06-06,28.1427960991859,22.0730307921767,21.6635639313608,-0.036011841148138,-0.039674062281847,"NCentral_GOA_Shelf"
"229",229,229,2006-06-07,26.113,-97.15,"USMCOB","USMCOB-RC43669",NA,00:00:00,2,"mark-recapture",NA,21,2006-06-07,27.6000549271703,27.4997100681067,35.5433820281178,-0.00427259132266045,0.0543229468166828,"TX_Shelf"
"230",230,230,2006-06-09,29.571,-88.672,"USMCOB","USMCOB-RC44017",1.27,00:00:00,2,"mark-recapture",NA,11,2006-06-09,28.1684316471219,25.0914334505796,21.434675110504,0.0585955381393433,0.0128177739679813,"NCentral_GOA_Shelf"
"231",231,231,2006-06-09,30.017,-84.175,"USMCOB","USMCOB-RC43520",0.88,00:00:00,2,"mark-recapture",6.57446665763855,7,2006-06-09,29.2568437680602,29.1572313532233,35.4258857667446,0.037232581526041,0,"FL_Panhandle"
"232",232,232,2006-06-12,29.06,-89.276,"USMCOB","USMCOB-RC40507",0.95,00:00:00,2,"mark-recapture",NA,12,2006-06-12,NA,NA,NA,NA,NA,"NCentral_GOA_Shelf"
"233",233,233,2006-06-20,29.794,-84.876,"USMCOB","USMCOB-RC42816",0.76,00:00:00,2,"mark-recapture",NA,7,2006-06-20,NA,NA,NA,NA,NA,"FL_Panhandle"
"234",234,234,2006-06-23,30.221,-88.919,"USMCOB","USMCOB-RC41481",0.51,00:00:00,1,"mark-recapture",NA,11,2006-06-23,30.9231543838978,31.376537360251,15.1295510586351,0.0616473890841007,-0.00732444226741791,"NCentral_GOA_Shelf"
"235",235,235,2006-06-24,29.589569,-88.77492,"USMCOB","USMCOB-RC44322",0.79,00:00:00,1,"mark-recapture",NA,11,2006-06-24,29.8991973549128,28.624744400382,18.6193426139653,-0.101931821554899,-0.0988799706101418,"NCentral_GOA_Shelf"
"236",236,236,2006-06-28,29.963,-87.159,"USMCOB","USMCOB-RC41364",NA,00:00:00,2,"mark-recapture",NA,10,2006-06-28,29.5454267933965,24.1158177405596,26.17267370224,0.108645893633366,-0.0659199804067612,"FL_Panhandle"
"237",237,237,2006-06-29,29.091613,-83.038337,"USMCOB","USMCOB-RC38726",0.89,00:00:00,2,"mark-recapture",NA,7,2006-06-29,30.3005767911673,30.1343119516969,34.1929379850626,-0.0170903652906418,0.00183111056685448,"WFL_Shelf"
"238",238,238,2006-06-30,29.67,-88.8,"USMCOB","USMCOB-RC44018",1.02,00:00:00,2,"mark-recapture",NA,11,2006-06-30,30.1365092843771,32.1404766887426,18.2164982892573,0.00366222113370895,-0.00122074037790298,"NCentral_GOA_Shelf"
"239",239,239,2006-07-03,28.498,-91.872,"USMCOB","USMCOB-RC44186",0.91,00:00:00,2,"mark-recapture",NA,15,2006-07-03,28.8386181145906,23.232490003109,34.9177525844425,0.0347911007702351,0.079348124563694,"NCentral_GOA_Shelf"
"240",240,240,2006-07-14,28.689,-90.679,"USMCOB","USMCOB-RC44090",0.94,00:00:00,2,"mark-recapture",1.03036752343178,14,2006-07-14,29.8215582668781,29.7549058422446,26.5083773061633,-0.22888882085681,0.0109866634011269,"NCentral_GOA_Shelf"
"241",241,241,2006-08-01,30.215,-88.791,"USMCOB","USMCOB-RC40292",0.61,00:00:00,1,"mark-recapture",NA,11,2006-08-01,30.6477553546429,32.7989440485835,15.0898769963533,0.128177739679813,-0.00671407207846642,"NCentral_GOA_Shelf"
"242",242,242,2006-08-06,29.095,-90.194,"USMCOB","USMCOB-RC40851",NA,00:00:00,2,"mark-recapture",NA,13,2006-08-06,30.5232398360968,33.2237617000937,23.2123782858253,-0.042115543037653,0.0555436871945858,"NCentral_GOA_Shelf"
"243",243,243,2006-08-18,26.14,-81.81,"USMCOB","USMCOB-RC44560",0.91,00:00:00,1,"mark-recapture",NA,4,2006-08-18,31.347972035408,31.3377178162336,36.5260780323297,-0.0610370188951492,0.112918484956026,"WFL_Shelf"
"244",244,244,2006-08-26,30.141,-88.669,"USMCOB","USMCOB-RC35686",0.83,00:00:00,1,"mark-recapture",NA,11,2006-08-26,29.9988097697496,30.743705548346,20.0231940485537,0.190435498952866,0.0250251777470112,"NCentral_GOA_Shelf"
"245",245,245,2006-09-10,29.718,-88.797,"USMCOB","USMCOB-RC43493",1.02,00:00:00,1,"mark-recapture",NA,11,2006-09-10,29.3696401789784,33.0596941933036,25.2815332263708,-0.0238044373691082,-0.0183111056685448,"NCentral_GOA_Shelf"
"246",246,246,2006-09-14,30.186,-88.686,"USMCOB","USMCOB-RC35686",0.84,00:00:00,2,"mark-recapture",NA,11,2006-09-14,28.4723960012197,31.6944181546569,25.5226294510067,0.00610370188951492,-0.0561540573835373,"NCentral_GOA_Shelf"
"247",247,247,2006-09-16,28.242,-82.88,"USMCOB","USMCOB-RC41993",NA,00:00:00,2,"mark-recapture",NA,6,2006-09-16,30.0420239791274,29.8904080241919,36.471144715324,-0.0164799951016903,-0.00915555283427238,"WFL_Shelf"
"248",248,248,2006-09-16,30.17167,-88.77167,"USMCOB","USMCOB-RC44612",0.69,00:00:00,1,"mark-recapture",2.01658000548681,11,2006-09-16,28.8239692300558,32.2562028765678,24.4712668005377,-0.0146488845348358,0.00976592302322388,"NCentral_GOA_Shelf"
"249",249,249,2006-09-16,30.288,-87.427,"USMCOB","USMCOB-RC42512",1.09,00:00:00,2,"mark-recapture",2.61869192123413,10,2006-09-16,30.0530106425285,31.9163487553596,29.7799615189433,0.0543229468166828,-0.0506607256829739,"FL_Panhandle"
"250",250,250,2006-09-18,30.234,-88.98,"USMCOB","USMCOB-RC29506",0.76,00:00:00,1,"mark-recapture",NA,11,2006-09-18,29.5263832435012,32.7725760564208,18.9153721556067,0.133671071380377,0.0317392498254776,"NCentral_GOA_Shelf"
"251",251,251,2006-09-27,30.216,-88.996,"USMCOB","USMCOB-RC44661",0.85,00:00:00,1,"mark-recapture",8.27980041503906,11,2006-09-27,27.3078096807003,28.7331461459398,18.4514908120036,0.00366222113370895,-0.0183111056685448,"NCentral_GOA_Shelf"
"252",252,252,2006-10-12,26.087,-81.834,"USMCOB","USMCOB-RC44202",0.94,00:00:00,2,"mark-recapture",NA,4,2006-10-12,28.4108706861734,28.380840472877,36.4360484294593,0.0708029419183731,-0.116580706089735,"WFL_Shelf"
"253",253,253,2006-10-28,25.928,-80.115,"USMCOB","USMCOB-RC44560",0.99,00:00:00,2,"mark-recapture",NA,3,2006-10-28,28.1611072048545,24.1355937346816,36.1171300057322,0.0457777641713619,1.02664265781641,"EFL_Shelf"
"254",254,254,2006-11-13,26.14,-81.81,"USMCOB","USMCOB-RC44554",0.89,00:00:00,1,"mark-recapture",NA,4,2006-11-13,24.1055635213852,24.0945768579841,36.7885372135788,0.0451673939824104,-0.137943662703037,"WFL_Shelf"
"255",255,255,2006-11-13,26.14,-81.81,"USMCOB","USMCOB-RC44553",0.89,00:00:00,1,"mark-recapture",NA,4,2006-11-13,24.1055635213852,24.0945768579841,36.7885372135788,0.0451673939824104,-0.137943662703037,"WFL_Shelf"
"256",256,256,2006-11-29,25.901,-81.806,"USMCOB","USMCOB-RC43483",0.91,00:00:00,2,"mark-recapture",4.44457332293193,3,2006-11-29,21.3112887963653,21.2900479137897,36.9350260589272,-0.170293282717466,0.175176244229078,"WFL_Shelf"
"257",257,257,2007-01-24,26.14,-81.81,"USMCOB","USMCOB-RC43472",0.99,00:00:00,2,"mark-recapture",NA,4,2007-01-24,22.1777703166008,22.1470076590776,36.3261817954481,-0.00183111056685448,-0.0390636920928955,"WFL_Shelf"
"258",258,258,2007-02-09,29.245,-80.585,"USMCOB","USMCOB-RC41506",1.04,00:00:00,2,"mark-recapture",1.2333670258522,7,2007-02-09,22.5066377744079,22.5315408781171,36.4070558454841,-0.0762962736189365,0.168462172150612,"EFL_Shelf"
"259",259,259,2007-02-12,24.709183,-81.977417,"USMCOB","USMCOB-RC44554",0.94,00:00:00,2,"mark-recapture",NA,1,2007-02-12,20.6110721156001,20.5934934541583,36.4207891747355,-0.0653096102178097,0.0317392498254776,"SFL_Shelf"
"260",260,260,2007-03-10,27.26,-82.55,"USMCOB","USMCOB-RC43489",0.83,00:00:00,1,"mark-recapture",NA,5,2007-03-10,19.5439008772373,19.303659170866,36.1491744406521,-0.0445570237934589,0.0225836969912052,"WFL_Shelf"
"261",261,261,2007-03-13,27.26,-82.55,"USMCOB","USMCOB-RC45039",0.61,00:00:00,1,"mark-recapture",NA,5,2007-03-13,20.2419202253222,20.1144749298692,36.2300484906882,-0.080568864941597,0.0976592302322388,"WFL_Shelf"
"262",262,262,2007-03-29,24.46667,-81.91667,"USMCOB","USMCOB-T1597",1.12,00:00:00,2,"mark-recapture",0.213754497468472,1,2007-03-29,24.4571367502213,24.9376201629639,36.3200780935585,-0.0103762932121754,0.00671407207846642,"SFL_Shelf"
"263",263,263,2007-03-29,30.267,-87.585,"USMCOB","USMCOB-RC48252",1.14,00:00:00,1,"mark-recapture",2.40975153446198,10,2007-03-29,21.2453688159585,21.3361919000745,33.3582567516714,-0.121463667601347,-0.0122074037790298,"NCentral_GOA_Shelf"
"264",264,264,2007-04-08,30.315,-87.203,"USMCOB","USMCOB-RC48477",0.83,00:00:00,1,"mark-recapture",NA,10,2007-04-08,19.442823573947,19.5636768713593,34.540848992765,0.183111056685448,0.0177007354795933,"FL_Panhandle"
"265",265,265,2007-04-15,30.3,-87.35,"USMCOB","USMCOB-RC48422",NA,00:00:00,1,"mark-recapture",NA,10,2007-04-15,NA,NA,NA,NA,NA,"FL_Panhandle"
"266",266,266,2007-04-16,30.279,-87.518,"USMCOB","USMCOB-RC48480",0.84,00:00:00,1,"mark-recapture",NA,10,2007-04-16,19.7226172685623,20.0192571803927,32.9203161410987,0.215460676699877,-0.0653096102178097,"NCentral_GOA_Shelf"
"267",267,267,2007-04-16,30.315,-87.203,"USMCOB","USMCOB-RC48088",0.99,00:00:00,1,"mark-recapture",NA,10,2007-04-16,19.6779381707311,19.7453230395913,34.4630267936736,0.227057710289955,-0.0152592547237873,"FL_Panhandle"
"268",268,268,2007-04-17,30.315,-87.203,"USMCOB","USMCOB-RC48080",0.97,00:00:00,1,"mark-recapture",NA,10,2007-04-17,19.6054261922836,19.7980590239167,33.9564195368439,0.287484358996153,-0.0354014709591866,"FL_Panhandle"
"269",269,269,2007-04-20,30.083,-88.496,"USMCOB","USMCOB-RC44322",0.91,00:00:00,2,"mark-recapture",1.41140475869179,11,2007-04-20,19.7760856971145,20.0844447165728,20.1727347448468,-0.038453321903944,-0.043336283415556,"NCentral_GOA_Shelf"
"270",270,270,2007-04-20,30.315,-87.203,"USMCOB","USMCOB-RC48330",0.89,00:00:00,1,"mark-recapture",1.1685379743576,10,2007-04-20,20.7407147437334,21.7507553324103,32.2183904238045,0.119022186845541,0.0622577592730522,"FL_Panhandle"
"271",271,271,2007-04-20,30.316,-86.131,"USMCOB","USMCOB-RC44204",1.02,00:00:00,1,"mark-recapture",NA,9,2007-04-20,20.1584215834737,20.0507522821426,35.7768486253917,0.147709585726261,-0.0567644275724888,"FL_Panhandle"
"272",272,272,2007-04-20,30.378,-86.862,"USMCOB","USMCOB-RC44054",0.66,00:00:00,1,"mark-recapture",NA,9,2007-04-20,20.4264961704612,21.2131412699819,34.3440046068281,0.130619220435619,-0.0598162785172462,"FL_Panhandle"
"273",273,273,2007-04-20,30.39,-86.6,"USMCOB","USMCOB-RC40519",0.93,00:00:00,1,"mark-recapture",NA,9,2007-04-20,20.2236091196537,20.1752678006887,35.5342264752835,-0.00244148075580597,-0.080568864941597,"FL_Panhandle"
"274",274,274,2007-04-21,30.313,-87.275,"USMCOB","USMCOB-RC48096",1.14,00:00:00,1,"mark-recapture",1.90390598773956,10,2007-04-21,20.5927610099316,22.2517471835017,31.3577684573829,-0.0811792351305485,0.140385143458843,"FL_Panhandle"
"275",275,275,2007-04-21,30.315,-87.203,"USMCOB","USMCOB-RC28976",1.09,00:00:00,1,"mark-recapture",1.37511034806569,10,2007-04-21,20.6249885559082,22.179967649281,31.406598072499,-0.0512710958719254,0.143436994403601,"FL_Panhandle"
"276",276,276,2007-04-21,30.315,-87.203,"USMCOB","USMCOB-RC48128",0.91,00:00:00,1,"mark-recapture",1.37511034806569,10,2007-04-21,20.6249885559082,22.179967649281,31.406598072499,-0.0512710958719254,0.143436994403601,"FL_Panhandle"
"277",277,277,2007-04-21,30.378,-86.862,"USMCOB","USMCOB-RC44056",0.97,00:00:00,1,"mark-recapture",0.669527500867844,9,2007-04-21,20.5356303602457,21.4599749743938,34.6827600616962,-0.0439466536045074,0.0256355479359627,"FL_Panhandle"
"278",278,278,2007-04-22,30.315,-87.203,"USMCOB","USMCOB-RC44059",0.58,00:00:00,1,"mark-recapture",1.06214924156666,10,2007-04-22,20.5502792447805,22.0283516943455,30.0851466134191,-0.112308114767075,0.083010345697403,"FL_Panhandle"
"279",279,279,2007-04-22,30.315,-87.203,"USMCOB","USMCOB-RC48197",1.02,00:00:00,1,"mark-recapture",1.06214924156666,10,2007-04-22,20.5502792447805,22.0283516943455,30.0851466134191,-0.112308114767075,0.083010345697403,"FL_Panhandle"
"280",280,280,2007-04-22,30.316,-86.131,"USMCOB","USMCOB-RC44206",0.95,00:00:00,1,"mark-recapture",NA,9,2007-04-22,20.3481246381998,20.2602313309908,35.7554856687784,-0.0476088747382164,0.0598162785172462,"FL_Panhandle"
"281",281,281,2007-04-22,30.367,-86.331,"USMCOB","USMCOB-RC40512",0.81,00:00:00,1,"mark-recapture",NA,9,2007-04-22,20.3847468495369,20.574449904263,35.5067598167807,-0.0628681294620037,0.124515518546104,"FL_Panhandle"
"282",282,282,2007-04-22,30.378,-86.862,"USMCOB","USMCOB-RC44057",0.66,00:00:00,1,"mark-recapture",NA,9,2007-04-22,20.9238258004189,20.8981902524829,35.415204288438,-0.0988799706101418,0.0366222113370895,"FL_Panhandle"
"283",283,283,2007-04-23,30.271,-85.986,"USMCOB","USMCOB-RC44093",0.95,00:00:00,1,"mark-recapture",0.523163989186287,8,2007-04-23,20.5883663445711,20.4587237164378,35.9889522660524,-0.203253272920847,0.133671071380377,"FL_Panhandle"
"284",284,284,2007-04-23,30.315,-87.203,"USMCOB","USMCOB-RC48583",0.76,00:00:00,1,"mark-recapture",0.937950745224953,10,2007-04-23,20.8476516008377,21.6526078060269,30.185857694596,-0.117801446467638,0.00915555283427238,"FL_Panhandle"
"285",285,285,2007-04-23,30.341979,-87.04635,"USMCOB","USMCOB-RC48584",0.97,00:00:00,1,"mark-recapture",0.678074479103088,10,2007-04-23,20.8505813777447,21.5903500467539,31.4310128800571,-0.111087374389172,-0.00427259132266045,"FL_Panhandle"
"286",286,286,2007-04-24,30.26,-87.58,"USMCOB","USMCOB-RC42140",1.31,00:00:00,2,"mark-recapture",NA,10,2007-04-24,21.0593279823661,21.8130130916834,25.8781700860709,-0.0311288796365261,0.036011841148138,"NCentral_GOA_Shelf"
"287",287,287,2007-04-24,30.315,-87.203,"USMCOB","USMCOB-RC41627",1.14,00:00:00,1,"mark-recapture",NA,10,2007-04-24,21.1728568375111,21.6936246827245,30.6817834731191,-0.0311288796365261,-0.0231940671801567,"FL_Panhandle"
"288",288,288,2007-04-24,30.333,-87.15,"USMCOB","USMCOB-RC44093",0.99,00:00:00,2,"mark-recapture",NA,10,2007-04-24,21.1728568375111,21.6936246827245,30.6817834731191,-0.0311288796365261,-0.0231940671801567,"FL_Panhandle"
"289",289,289,2007-04-25,26.511,-82.06,"USMCOB","USMCOB-RC43509",0.97,00:00:00,2,"mark-recapture",NA,4,2007-04-25,23.3438215255737,23.3350321948528,37.0494704693556,-0.105594042688608,0.200201421976089,"WFL_Shelf"
"290",290,290,2007-04-25,30.26,-87.58,"USMCOB","USMCOB-RC43435",0.74,00:00:00,2,"mark-recapture",NA,10,2007-04-25,21.3332621231675,22.248084962368,25.2372813876718,0.155644398182631,0.0762962736189365,"NCentral_GOA_Shelf"
"291",291,291,2007-04-25,30.267,-87.585,"USMCOB","USMCOB-RC41685",1.02,00:00:00,1,"mark-recapture",NA,10,2007-04-25,21.3332621231675,22.248084962368,25.2372813876718,0.155644398182631,0.0762962736189365,"NCentral_GOA_Shelf"
"292",292,292,2007-04-25,30.315,-87.203,"USMCOB","USMCOB-RC44541",1.02,00:00:00,1,"mark-recapture",NA,10,2007-04-25,21.4021118804812,22.0701010152698,29.9264503642917,0.120853297412395,0.0152592547237873,"FL_Panhandle"
"293",293,293,2007-04-25,30.315,-87.203,"USMCOB","USMCOB-RC44544",0.76,00:00:00,1,"mark-recapture",NA,10,2007-04-25,21.4021118804812,22.0701010152698,29.9264503642917,0.120853297412395,0.0152592547237873,"FL_Panhandle"
"294",294,294,2007-04-25,30.315,-87.203,"USMCOB","USMCOB-RC48154",1.02,00:00:00,1,"mark-recapture",NA,10,2007-04-25,21.4021118804812,22.0701010152698,29.9264503642917,0.120853297412395,0.0152592547237873,"FL_Panhandle"
"295",295,295,2007-04-26,30.30627,-86.6037,"USMCOB","USMCOB-RC44206",0.89,00:00:00,2,"mark-recapture",NA,9,2007-04-26,21.3698843345046,20.7663502916694,34.1303750406951,0.0488296151161194,0.0195318460464478,"FL_Panhandle"
"296",296,296,2007-04-27,30.315,-87.203,"USMCOB","USMCOB-RC44550",0.76,00:00:00,1,"mark-recapture",NA,10,2007-04-27,22.0613116845489,22.452436901629,27.3689992725849,0.232551041990519,-0.0903347879648209,"FL_Panhandle"
"297",297,297,2007-04-27,30.315,-87.203,"USMCOB","USMCOB-RC44794",0.86,00:00:00,1,"mark-recapture",NA,10,2007-04-27,22.0613116845489,22.452436901629,27.3689992725849,0.232551041990519,-0.0903347879648209,"FL_Panhandle"
"298",298,298,2007-04-27,30.364,-87.192,"USMCOB","USMCOB-RC48128",1.27,00:00:00,2,"mark-recapture",NA,10,2007-04-27,22.0613116845489,22.452436901629,27.3689992725849,0.232551041990519,-0.0903347879648209,"FL_Panhandle"
"299",299,299,2007-04-28,29.769,-88.709,"USMCOB","USMCOB-RC38639",0.79,00:00:00,1,"mark-recapture",NA,11,2007-04-28,22.7900936901569,22.6648457273841,16.0832544788718,-0.0494399853050709,-0.0219733268022537,"NCentral_GOA_Shelf"
"300",300,300,2007-04-28,30.043,-88.878,"USMCOB","USMCOB-RC41627",1.28,00:00:00,2,"mark-recapture",NA,11,2007-04-28,22.9951780736446,24.2425305917859,10.9515671152622,0.0164799951016903,-0.0347911007702351,"NCentral_GOA_Shelf"
"301",301,301,2007-04-28,30.267,-87.585,"USMCOB","USMCOB-RC41679",0.84,00:00:00,1,"mark-recapture",NA,10,2007-04-28,22.4033631384373,22.5366679877043,25.1075777225196,0.236823633313179,0.0140385143458843,"NCentral_GOA_Shelf"
"302",302,302,2007-04-28,30.267,-87.585,"USMCOB","USMCOB-RC48162",1.02,00:00:00,1,"mark-recapture",NA,10,2007-04-28,22.4033631384373,22.5366679877043,25.1075777225196,0.236823633313179,0.0140385143458843,"NCentral_GOA_Shelf"
"303",303,303,2007-04-29,29.629667,-88.701667,"USMCOB","USMCOB-RC42518",0.76,00:00:00,1,"mark-recapture",2.14009177684784,11,2007-04-29,22.9922482967377,21.7566148862243,17.9982909467071,-0.043336283415556,0.00305185094475746,"NCentral_GOA_Shelf"
"304",304,304,2007-04-29,30.315,-87.203,"USMCOB","USMCOB-RC44802",0.79,00:00:00,1,"mark-recapture",1.04480350017548,10,2007-04-29,22.4597613438964,22.7080599367619,27.8023621067405,0.271614734083414,0.0183111056685448,"FL_Panhandle"
"305",305,305,2007-04-29,30.322,-86.248,"USMCOB","USMCOB-RC48407",0.61,00:00:00,1,"mark-recapture",NA,9,2007-04-29,22.1719107627869,21.4592425301671,35.7234412338585,0.0476088747382164,-0.0604266487061977,"FL_Panhandle"
"306",306,306,2007-04-30,30.315,-87.203,"USMCOB","USMCOB-RC32325",1.02,00:00:00,1,"mark-recapture",1.41869050264359,10,2007-04-30,23.1204260364175,22.832575455308,27.1187474951148,0.278939176350832,0.0671407207846642,"FL_Panhandle"
"307",307,307,2007-04-30,30.38,-86.5,"USMCOB","USMCOB-RC44854",1.02,00:00:00,1,"mark-recapture",NA,9,2007-04-30,22.7300332635641,22.4363231286407,34.6827600616962,0.120242927223444,-0.078127384185791,"FL_Panhandle"
"308",308,308,2007-05-01,30.315,-87.203,"USMCOB","USMCOB-RC44855",0.97,00:00:00,1,"mark-recapture",0.8914715051651,10,2007-05-01,23.5796685665846,23.1716971322894,25.9727774653584,0.234992522746325,0.111087374389172,"FL_Panhandle"
"309",309,309,2007-05-01,30.38,-86.5,"USMCOB","USMCOB-RC31672",0.86,00:00:00,1,"mark-recapture",NA,9,2007-05-01,23.1380046978593,22.7783745825291,34.3058564700186,0.105594042688608,-0.00732444226741791,"FL_Panhandle"
"310",310,310,2007-05-01,30.38,-86.5,"USMCOB","USMCOB-RC32330",0.84,00:00:00,1,"mark-recapture",NA,9,2007-05-01,23.1380046978593,22.7783745825291,34.3058564700186,0.105594042688608,-0.00732444226741791,"FL_Panhandle"
"311",311,311,2007-05-02,30.315,-87.203,"USMCOB","USMCOB-RC48392",0.91,00:00:00,1,"mark-recapture",1.5300307571888,10,2007-05-02,23.9297769069672,23.7188329696655,24.9244666658342,0.152592547237873,0.108645893633366,"FL_Panhandle"
"312",312,312,2007-05-02,30.318,-87.228,"USMCOB","USMCOB-RC44854",1.12,00:00:00,2,"mark-recapture",1.65441032250722,10,2007-05-02,23.944425791502,23.5108188092709,25.1228369772434,0.144657734781504,0.120242927223444,"FL_Panhandle"
"313",313,313,2007-05-02,30.38,-86.5,"USMCOB","USMCOB-RC44841",1.02,00:00:00,1,"mark-recapture",0.728913992643356,9,2007-05-02,23.6184881106019,23.3247779756784,33.275856776163,0.0378429517149925,0.0689718313515186,"FL_Panhandle"
"314",314,314,2007-05-02,30.383,-86.51,"USMCOB","USMCOB-RC42129",NA,00:00:00,2,"mark-recapture",0.728913992643356,9,2007-05-02,23.6184881106019,23.3247779756784,33.275856776163,0.0378429517149925,0.0689718313515186,"FL_Panhandle"
"315",315,315,2007-05-03,30.315,-87.203,"USMCOB","USMCOB-RC44907",0.84,00:00:00,1,"mark-recapture",NA,10,2007-05-03,24.2688985839486,24.1348612904549,24.2255927994847,0.101931821554899,0.0646992400288582,"FL_Panhandle"
"316",316,316,2007-05-03,30.315,-87.203,"USMCOB","USMCOB-RC44849",0.84,00:00:00,1,"mark-recapture",NA,10,2007-05-03,24.2688985839486,24.1348612904549,24.2255927994847,0.101931821554899,0.0646992400288582,"FL_Panhandle"
"317",317,317,2007-05-04,30.045533,-88.350867,"USMCOB","USMCOB-RC47163",0.79,00:00:00,1,"mark-recapture",NA,11,2007-05-04,24.591174043715,21.2065492719412,17.9601428098977,-0.0158696249127388,0.0323496200144291,"NCentral_GOA_Shelf"
"318",318,318,2007-05-05,28.891167,-90.811167,"USMCOB","USMCOB-RC43594",0.99,00:00:00,1,"mark-recapture",4.01932299137115,14,2007-05-05,25.3953978046775,25.4320200160146,29.4396801386029,-0.14709921553731,0.0250251777470112,"NCentral_GOA_Shelf"
"319",319,319,2007-05-05,29.457,-88.84,"USMCOB","USMCOB-RC41481",0.74,00:00:00,2,"mark-recapture",NA,11,2007-05-05,25.0474867969751,21.8115482032299,22.832422843203,-0.0701925717294216,-0.0482192449271679,"NCentral_GOA_Shelf"
"320",320,320,2007-05-05,29.552,-88.665,"USMCOB","USMCOB-RC27879",1.12,00:00:00,2,"mark-recapture",NA,11,2007-05-05,25.0760521218181,22.3997009173036,22.6767784450203,-0.0488296151161194,-0.0738547928631306,"NCentral_GOA_Shelf"
