"","project_shortcode","locality","latitude","longitude","length","observedweight","lengthtype","length2","length2type","datecollected","institutioncode","interaction_order","catalognumber...13","datelastmodified","timezone","yearcollected","monthcollected","daycollected","julianday","timeofday","sex","the_geom","catalognumber...23","cat_num","chlorophyll_mg_m3"
"624","USMCOB","BLK 301, S. TIMBALIER, LA RIG",28.153,-90.683,NA,NA,NA,NA,NA,1993-05-18,"USM",2,"USMCOB-RC12984",2026-05-05,"UTC",1993,5,18,138,00:00:00,NA,"POINT(-90.683 28.153)","USMCOB-RC12984","USMCOB-RC12984-2",NA
"625","USMCOB","Navarre, FL",30.378,-86.862,0.81,NA,"TL",NA,NA,1995-04-09,"USM",1,"USMCOB-RC12987",2026-05-05,"UTC",1995,4,9,99,00:00:00,NA,"POINT(-86.862 30.378)","USMCOB-RC12987","USMCOB-RC12987-1",NA
"626","USMCOB","45 Mi S. Ocean Springs, MS",29.75,-88.829,1.03,NA,"TL",NA,NA,1995-06-03,"USM",2,"USMCOB-RC12987",2026-05-05,"UTC",1995,6,3,154,00:00:00,NA,"POINT(-88.829 29.75)","USMCOB-RC12987","USMCOB-RC12987-2",NA
"627","USMCOB","Navarre/Ft. Walton Beach FL",30.385,-86.745,1.02,NA,"TL",NA,NA,1995-04-07,"USM",1,"USMCOB-RC12991",2026-05-05,"UTC",1995,4,7,97,00:00:00,NA,"POINT(-86.745 30.385)","USMCOB-RC12991","USMCOB-RC12991-1",NA
"628","USMCOB","1 ml W of Ft Walton Beach",30.394,-86.634,1.38,NA,"FL",NA,NA,2000-04-26,"USM",2,"USMCOB-RC12991",2026-05-05,"UTC",2000,4,26,117,00:00:00,NA,"POINT(-86.634 30.394)","USMCOB-RC12991","USMCOB-RC12991-2",NA
"629","USMCOB","Ft. Walton Beach FL",30.39,-86.6,0.86,NA,"TL",NA,NA,1995-04-08,"USM",1,"USMCOB-RC12994",2026-05-05,"UTC",1995,4,8,98,00:00:00,NA,"POINT(-86.6 30.39)","USMCOB-RC12994","USMCOB-RC12994-1",NA
"630","USMCOB","4Mi ESt.Lucie Inlet, Stuart FL",27.164,-80.084,1.07,NA,"TL",NA,NA,1996-02-27,"USM",2,"USMCOB-RC12994",2026-05-05,"UTC",1996,2,27,58,00:00:00,NA,"POINT(-80.084 27.164)","USMCOB-RC12994","USMCOB-RC12994-2",NA
"631","USMCOB","BRETON SOUND, OFF LA",29.5,-89.25,0.74,NA,"FL",0.81,"TL",1993-08-20,"USM",1,"USMCOB-RC13001",2026-05-05,"UTC",1993,8,20,232,00:00:00,NA,"POINT(-89.25 29.5)","USMCOB-RC13001","USMCOB-RC13001-1",NA
"632","USMCOB","Near Curlew Rigs, LA",29.543,-88.668,0.94,NA,"FL",1.04,"TL",1995-09-16,"USM",2,"USMCOB-RC13001",2026-05-05,"UTC",1995,9,16,259,00:00:00,NA,"POINT(-88.668 29.543)","USMCOB-RC13001","USMCOB-RC13001-2",NA
"633","USMCOB","18MI. S OF FREEPORT, TX",28.672129,-95.306383,0.58,NA,"FL",NA,NA,1994-07-09,"USM",1,"USMCOB-RC13152",2026-05-05,"UTC",1994,7,9,190,00:00:00,NA,"POINT(-95.306383 28.672129)","USMCOB-RC13152","USMCOB-RC13152-1",NA
"634","USMCOB","Sargent Texas",28.752,-95.657,0.66,NA,"TL",NA,NA,1995-04-15,"USM",2,"USMCOB-RC13152",2026-05-05,"UTC",1995,4,15,105,00:00:00,NA,"POINT(-95.657 28.752)","USMCOB-RC13152","USMCOB-RC13152-2",NA
"635","USMCOB","W OF SHIP ISL. AT GAS PIPE, MS",30.228,-89.012,0.76,NA,"FL",NA,NA,1993-07-29,"USM",1,"USMCOB-RC13177",2026-05-05,"UTC",1993,7,29,210,00:00:00,NA,"POINT(-89.012 30.228)","USMCOB-RC13177","USMCOB-RC13177-1",NA
"636","USMCOB","LOWER MATECUMBE KEY, FL",24.862,-80.718,0.89,NA,"FL",0.99,"TL",1993-12-29,"USM",2,"USMCOB-RC13177",2026-05-05,"UTC",1993,12,29,363,00:00:00,NA,"POINT(-80.718 24.862)","USMCOB-RC13177","USMCOB-RC13177-2",NA
"637","USMCOB","BRETON ISLAND, LA",29.464,-89.199,0.64,NA,"FL",0.69,"TL",1992-08-13,"USM",1,"USMCOB-RC13206",2026-05-05,"UTC",1992,8,13,226,00:00:00,NA,"POINT(-89.199 29.464)","USMCOB-RC13206","USMCOB-RC13206-1",NA
"638","USMCOB","OFF BOYNTON INLET, E. COAST,FL",26.545,-80.04,NA,NA,NA,NA,NA,1993-05-21,"USM",2,"USMCOB-RC13206",2026-05-05,"UTC",1993,5,21,141,00:00:00,NA,"POINT(-80.04 26.545)","USMCOB-RC13206","USMCOB-RC13206-2",NA
"639","USMCOB","BRETON ISL. RIGS 29.27N/89.02W",29.45,-89.03,0.53,NA,"FL",0.58,"TL",1992-08-13,"USM",1,"USMCOB-RC13211",2026-05-05,"UTC",1992,8,13,226,00:00:00,NA,"POINT(-89.03 29.45)","USMCOB-RC13211","USMCOB-RC13211-1",NA
"640","USMCOB","29'52N 88'W Supertanker",29.866667,-88,0.9,NA,"FL",NA,NA,1995-06-20,"USM",2,"USMCOB-RC13211",2026-05-05,"UTC",1995,6,20,171,00:00:00,NA,"POINT(-88.0 29.866667)","USMCOB-RC13211","USMCOB-RC13211-2",NA
"641","USMCOB","Petit Bois Rigs, MS",30.115,-88.45,0.58,NA,"TL",NA,NA,1995-07-18,"USM",2,"USMCOB-RC13342",2026-05-05,"UTC",1995,7,18,199,00:00:00,NA,"POINT(-88.45 30.115)","USMCOB-RC13342","USMCOB-RC13342-2",NA
"642","USMCOB","KEY WEST, FL (GARDNER WRECK)",24.5,-81.6,0.79,NA,"FL",0.88,"TL",1993-02-13,"USM",1,"USMCOB-RC13453",2026-05-05,"UTC",1993,2,13,44,00:00:00,NA,"POINT(-81.6 24.5)","USMCOB-RC13453","USMCOB-RC13453-1",NA
"643","USMCOB","WRECK OFF KEY WEST, FL",24.5,-81.6,0.81,NA,"FL",0.91,"TL",1993-08-14,"USM",1,"USMCOB-RC13469",2026-05-05,"UTC",1993,8,14,226,00:00:00,NA,"POINT(-81.6 24.5)","USMCOB-RC13469","USMCOB-RC13469-1",NA
"644","USMCOB","OFF KEY WEST (GULF SIDE)",24.57,-81.79,1.09,NA,"TL",NA,NA,1994-04-24,"USM",2,"USMCOB-RC13469",2026-05-05,"UTC",1994,4,24,114,00:00:00,NA,"POINT(-81.79 24.57)","USMCOB-RC13469","USMCOB-RC13469-2",NA
"645","USMCOB","KEY WEST, FL(MIKE&SUSIE WRECK)",24.5,-81.6,0.84,NA,"FL",0.93,"TL",1993-02-17,"USM",1,"USMCOB-RC13476",2026-05-05,"UTC",1993,2,17,48,00:00:00,NA,"POINT(-81.6 24.5)","USMCOB-RC13476","USMCOB-RC13476-1",NA
"646","USMCOB","PENSACOLA PASS, FL",30.326,-87.307,0.95,NA,"FL",NA,NA,1993-10-06,"USM",2,"USMCOB-RC13476",2026-05-05,"UTC",1993,10,6,279,00:00:00,NA,"POINT(-87.307 30.326)","USMCOB-RC13476","USMCOB-RC13476-2",NA
"647","USMCOB","KEY WEST, FL WRK OF THE CHRIS",24.5,-81.6,0.8,NA,"FL",0.86,"TL",1993-01-04,"USM",1,"USMCOB-RC13490",2026-05-05,"UTC",1993,1,4,4,00:00:00,NA,"POINT(-81.6 24.5)","USMCOB-RC13490","USMCOB-RC13490-1",NA
"648","USMCOB","SAWYER KEY(FL KEYS),GUNBAR WRK",24.92,-81.792,0.91,NA,"FL",NA,NA,1994-02-24,"USM",2,"USMCOB-RC13490",2026-05-05,"UTC",1994,2,24,55,00:00:00,NA,"POINT(-81.792 24.92)","USMCOB-RC13490","USMCOB-RC13490-2",NA
"649","USMCOB","KEY WEST, FL WRK OF THE CHRIS",24.5,-81.6,0.76,NA,"FL",0.85,"TL",1993-01-04,"USM",1,"USMCOB-RC13493",2026-05-05,"UTC",1993,1,4,4,00:00:00,NA,"POINT(-81.6 24.5)","USMCOB-RC13493","USMCOB-RC13493-1",NA
"650","USMCOB","35 MI.OFF MERMANTAU RIVER,LA",29.26,-93.232,1.07,NA,"FL",1.14,"TL",1994-05-21,"USM",2,"USMCOB-RC13493",2026-05-05,"UTC",1994,5,21,141,00:00:00,NA,"POINT(-93.232 29.26)","USMCOB-RC13493","USMCOB-RC13493-2",NA
"651","USMCOB","13 MI. WEST OF KEY WEST, FL",24.546,-82.021,0.84,NA,"FL",0.94,"TL",1994-01-30,"USM",1,"USMCOB-RC13502",2026-05-05,"UTC",1994,1,30,30,00:00:00,NA,"POINT(-82.021 24.546)","USMCOB-RC13502","USMCOB-RC13502-1",NA
"652","USMCOB","13 MI. W. OF KEY WEST, FL",24.546,-82.021,0.84,NA,"FL",0.94,"TL",1994-02-06,"USM",2,"USMCOB-RC13502",2026-05-05,"UTC",1994,2,6,37,00:00:00,NA,"POINT(-82.021 24.546)","USMCOB-RC13502","USMCOB-RC13502-2",NA
"653","USMCOB","13 MI. WEST OF KEY WEST, FL",24.546,-82.021,0.75,NA,"FL",0.86,"TL",1994-01-30,"USM",1,"USMCOB-RC13504",2026-05-05,"UTC",1994,1,30,30,00:00:00,NA,"POINT(-82.021 24.546)","USMCOB-RC13504","USMCOB-RC13504-1",NA
"654","USMCOB","13 MILES W. OF KEY WEST, FL",24.546,-82.021,0.76,NA,"FL",0.86,"TL",1994-02-06,"USM",2,"USMCOB-RC13504",2026-05-05,"UTC",1994,2,6,37,00:00:00,NA,"POINT(-82.021 24.546)","USMCOB-RC13504","USMCOB-RC13504-2",NA
"655","USMCOB","7 MI. W. OF KEY WEST, FL",24.557,-81.926,0.75,NA,"FL",0.86,"TL",1994-04-09,"USM",1,"USMCOB-RC13505",2026-05-05,"UTC",1994,4,9,99,00:00:00,NA,"POINT(-81.926 24.557)","USMCOB-RC13505","USMCOB-RC13505-1",NA
"656","USMCOB","7 MI. WEST OF KEY WEST, FL",24.557,-81.926,0.76,NA,"FL",0.86,"TL",1994-04-09,"USM",2,"USMCOB-RC13505",2026-05-05,"UTC",1994,4,9,99,00:00:00,NA,"POINT(-81.926 24.557)","USMCOB-RC13505","USMCOB-RC13505-2",NA
"657","USMCOB","BLOCK NO.95, OFF LA",29.626,-88.706,0.89,NA,"FL",0.94,"TL",1994-05-14,"USM",1,"USMCOB-RC13549",2026-05-05,"UTC",1994,5,14,134,00:00:00,NA,"POINT(-88.706 29.626)","USMCOB-RC13549","USMCOB-RC13549-1",NA
"658","USMCOB","S.PASS RIG #85A, OFF LA",28.734,-89.344,0.99,NA,"TL",NA,NA,1994-05-27,"USM",2,"USMCOB-RC13549",2026-05-05,"UTC",1994,5,27,147,00:00:00,NA,"POINT(-89.344 28.734)","USMCOB-RC13549","USMCOB-RC13549-2",NA
"659","USMCOB","DESTIN, FL",30.38,-86.5,1.02,NA,"FL",1.09,"TL",1993-04-14,"USM",1,"USMCOB-RC13584",2026-05-05,"UTC",1993,4,14,104,00:00:00,NA,"POINT(-86.5 30.38)","USMCOB-RC13584","USMCOB-RC13584-1",NA
"660","USMCOB","BLOCK 127,M.R.G.O., LA",29.428,-88.85,1.02,NA,"FL",NA,NA,1994-07-29,"USM",2,"USMCOB-RC13584",2026-05-05,"UTC",1994,7,29,210,00:00:00,NA,"POINT(-88.85 29.428)","USMCOB-RC13584","USMCOB-RC13584-2",NA
"661","USMCOB","DESTIN, FL",30.38,-86.5,0.84,NA,"FL",0.91,"TL",1993-04-25,"USM",1,"USMCOB-RC13589",2026-05-05,"UTC",1993,4,25,115,00:00:00,NA,"POINT(-86.5 30.38)","USMCOB-RC13589","USMCOB-RC13589-1",NA
"662","USMCOB","NAVARRE BEACH, FL",30.378,-86.862,1.12,NA,"TL",NA,NA,1995-04-08,"USM",2,"USMCOB-RC13589",2026-05-05,"UTC",1995,4,8,98,00:00:00,NA,"POINT(-86.862 30.378)","USMCOB-RC13589","USMCOB-RC13589-2",NA
"663","USMCOB","DESTIN, FL",30.38,-86.5,0.86,NA,"FL",0.94,"TL",1993-04-27,"USM",1,"USMCOB-RC13590",2026-05-05,"UTC",1993,4,27,117,00:00:00,NA,"POINT(-86.5 30.38)","USMCOB-RC13590","USMCOB-RC13590-1",NA
"664","USMCOB","20 MI. S. PETIT BOIS ISL., MS",29.906,-88.463,1.02,NA,"FL",NA,NA,1994-07-01,"USM",2,"USMCOB-RC13590",2026-05-05,"UTC",1994,7,1,182,00:00:00,NA,"POINT(-88.463 29.906)","USMCOB-RC13590","USMCOB-RC13590-2",NA
"665","USMCOB","DESTIN, FL",30.38,-86.5,0.84,NA,"FL",0.91,"TL",1993-04-25,"USM",1,"USMCOB-RC13593",2026-05-05,"UTC",1993,4,25,115,00:00:00,NA,"POINT(-86.5 30.38)","USMCOB-RC13593","USMCOB-RC13593-1",NA
"666","USMCOB","30 MI. S. OF GALVESTON, TEXAS",28.861,-94.753,1.17,NA,"TL",NA,NA,1994-05-21,"USM",2,"USMCOB-RC13593",2026-05-05,"UTC",1994,5,21,141,00:00:00,NA,"POINT(-94.753 28.861)","USMCOB-RC13593","USMCOB-RC13593-2",NA
"667","USMCOB","6 miles South Orange Beach AL",30.178697,-87.585347,0.66,NA,"FL",0.74,"TL",1994-10-14,"USM",1,"USMCOB-RC13705",2026-05-05,"UTC",1994,10,14,287,00:00:00,NA,"POINT(-87.585347 30.178697)","USMCOB-RC13705","USMCOB-RC13705-1",NA
"668","USMCOB","Key West Fl",24.563,-81.726,NA,NA,NA,NA,NA,1998-07-15,"USM",2,"USMCOB-RC13705",2026-05-05,"UTC",1998,7,15,196,00:00:00,NA,"POINT(-81.726 24.563)","USMCOB-RC13705","USMCOB-RC13705-2",NA
"669","USMCOB","CAPE CANAVERAL, FL",28.391,-80.594,0.86,NA,"FL",0.94,"TL",1993-03-27,"USM",1,"USMCOB-RC13775",2026-05-05,"UTC",1993,3,27,86,00:00:00,NA,"POINT(-80.594 28.391)","USMCOB-RC13775","USMCOB-RC13775-1",NA
"670","USMCOB","50 MI. SE. OF SOUTH PASS, LA",28.565,-88.603,0.86,NA,"FL",NA,NA,1993-08-14,"USM",2,"USMCOB-RC13775",2026-05-05,"UTC",1993,8,14,226,00:00:00,NA,"POINT(-88.603 28.565)","USMCOB-RC13775","USMCOB-RC13775-2",NA
"671","USMCOB","MARCO ISLAND, FL",25.925,-81.74,0.83,NA,"FL",0.93,"TL",1992-11-22,"USM",1,"USMCOB-RC13804",2026-05-05,"UTC",1992,11,22,327,00:00:00,NA,"POINT(-81.74 25.925)","USMCOB-RC13804","USMCOB-RC13804-1",NA
"672","USMCOB","55 MI. S.E. OF GULFPORT, MS",29.847,-88.387,1,NA,"TL",NA,NA,1993-05-29,"USM",2,"USMCOB-RC13804",2026-05-05,"UTC",1993,5,29,149,00:00:00,NA,"POINT(-88.387 29.847)","USMCOB-RC13804","USMCOB-RC13804-2",NA
"673","USMCOB","20MI. NORTH OF KEY WEST, FL",24.845615,-81.734318,0.97,NA,"FL",NA,NA,1992-10-26,"USM",1,"USMCOB-RC13876",2026-05-05,"UTC",1992,10,26,300,00:00:00,NA,"POINT(-81.734318 24.845615)","USMCOB-RC13876","USMCOB-RC13876-1",NA
"674","USMCOB","KEY WEST, FL (GULF SIDE)",24.57,-81.79,1.22,NA,"TL",NA,NA,1993-10-26,"USM",2,"USMCOB-RC13876",2026-05-05,"UTC",1993,10,26,299,00:00:00,NA,"POINT(-81.79 24.57)","USMCOB-RC13876","USMCOB-RC13876-2",NA
"675","USMCOB","20MI. NORTH OF KEY WEST, FL",24.845615,-81.734318,0.76,NA,"FL",0.84,"TL",1992-10-26,"USM",1,"USMCOB-RC13878",2026-05-05,"UTC",1992,10,26,300,00:00:00,NA,"POINT(-81.734318 24.845615)","USMCOB-RC13878","USMCOB-RC13878-1",NA
"676","USMCOB","W.OF MS RIV.,W. DEL.BLK,RIG 94",28.912,-89.784,1.04,NA,"TL",NA,NA,1993-09-05,"USM",2,"USMCOB-RC13878",2026-05-05,"UTC",1993,9,5,248,00:00:00,NA,"POINT(-89.784 28.912)","USMCOB-RC13878","USMCOB-RC13878-2",NA
"677","USMCOB","20MI. NORTH OF KEY WEST, FL",24.845615,-81.734318,0.81,NA,"FL",0.91,"TL",1992-10-25,"USM",1,"USMCOB-RC13882",2026-05-05,"UTC",1992,10,25,299,00:00:00,NA,"POINT(-81.734318 24.845615)","USMCOB-RC13882","USMCOB-RC13882-1",NA
"678","USMCOB","OKALOOSA WALTON PIER, FL",30.39,-86.593,NA,NA,NA,NA,NA,1993-05-04,"USM",2,"USMCOB-RC13882",2026-05-05,"UTC",1993,5,4,124,00:00:00,NA,"POINT(-86.593 30.39)","USMCOB-RC13882","USMCOB-RC13882-2",NA
"679","USMCOB","KEY WEST, FL(CAPT CHRIS WRECK)",24.5,-81.6,0.69,NA,"FL",0.79,"TL",1993-01-13,"USM",1,"USMCOB-RC13886",2026-05-05,"UTC",1993,1,13,13,00:00:00,NA,"POINT(-81.6 24.5)","USMCOB-RC13886","USMCOB-RC13886-1",NA
"680","USMCOB","BIG PINE KEY, FL",24.659,-81.356,0.69,NA,"FL",0.74,"TL",1993-02-05,"USM",2,"USMCOB-RC13886",2026-05-05,"UTC",1993,2,5,36,00:00:00,NA,"POINT(-81.356 24.659)","USMCOB-RC13886","USMCOB-RC13886-2",NA
"681","USMCOB","OFF DOCTOR PASS, NAPLES, FL",26.174,-81.8145,0.84,NA,"FL",0.9,"TL",1993-09-13,"USM",1,"USMCOB-RC13908",2026-05-05,"UTC",1993,9,13,256,00:00:00,NA,"POINT(-81.8145 26.174)","USMCOB-RC13908","USMCOB-RC13908-1",NA
"682","USMCOB","KEY WEST, FL",24.563,-81.726,0.85,NA,"FL",NA,NA,1994-02-26,"USM",2,"USMCOB-RC13908",2026-05-05,"UTC",1994,2,26,57,00:00:00,NA,"POINT(-81.726 24.563)","USMCOB-RC13908","USMCOB-RC13908-2",NA
"683","USMCOB","17 Mi N of Sawyer Key FL, Keys",24.993218,-81.566312,0.69,NA,"FL",0.76,"TL",1995-12-02,"USM",1,"USMCOB-RC13938",2026-05-05,"UTC",1995,12,2,336,00:00:00,NA,"POINT(-81.566312 24.993218)","USMCOB-RC13938","USMCOB-RC13938-1",NA
"684","USMCOB","24-56-290,81-46-374 SugarloafK",24.93817,-81.7729,0.97,NA,"FL",1.04,"TL",1997-08-04,"USM",2,"USMCOB-RC13938",2026-05-05,"UTC",1997,8,4,216,00:00:00,NA,"POINT(-81.7729 24.93817)","USMCOB-RC13938","USMCOB-RC13938-2",NA
"685","USMCOB","17 Mi N of Sawyer Key FL, Keys",24.993218,-81.566312,0.81,NA,"FL",0.89,"TL",1995-12-02,"USM",1,"USMCOB-RC13949",2026-05-05,"UTC",1995,12,2,336,00:00:00,NA,"POINT(-81.566312 24.993218)","USMCOB-RC13949","USMCOB-RC13949-1",NA
"686","USMCOB","Pensacola Beach",30.333,-87.15,NA,NA,NA,NA,NA,1999-04-05,"USM",2,"USMCOB-RC13949",2026-05-05,"UTC",1999,4,5,95,00:00:00,NA,"POINT(-87.15 30.333)","USMCOB-RC13949","USMCOB-RC13949-2",NA
"687","USMCOB","10 MILES N OF KEY WEST, FL",24.709,-81.787,0.75,NA,"FL",0.84,"TL",1993-02-06,"USM",1,"USMCOB-RC13952",2026-05-05,"UTC",1993,2,6,37,00:00:00,NA,"POINT(-81.787 24.709)","USMCOB-RC13952","USMCOB-RC13952-1",NA
"688","USMCOB","10MI. N. OF KEY WEST, FL",24.709,-81.787,0.79,NA,"FL",0.86,"TL",1993-03-11,"USM",2,"USMCOB-RC13952",2026-05-05,"UTC",1993,3,11,70,00:00:00,NA,"POINT(-81.787 24.709)","USMCOB-RC13952","USMCOB-RC13952-2",NA
"689","USMCOB","10 MILES N OF KEY WEST, FL",24.709,-81.787,0.79,NA,"FL",0.88,"TL",1993-03-11,"USM",1,"USMCOB-RC13956",2026-05-05,"UTC",1993,3,11,70,00:00:00,NA,"POINT(-81.787 24.709)","USMCOB-RC13956","USMCOB-RC13956-1",NA
"690","USMCOB","10MI. N. OF KEY WEST, FL",24.709,-81.787,0.79,NA,"FL",0.88,"TL",1993-03-12,"USM",2,"USMCOB-RC13956",2026-05-05,"UTC",1993,3,12,71,00:00:00,NA,"POINT(-81.787 24.709)","USMCOB-RC13956","USMCOB-RC13956-2",NA
"691","USMCOB","KEY WEST, FL -GULFSIDE",24.57,-81.79,0.75,NA,"FL",0.83,"TL",1994-02-13,"USM",1,"USMCOB-RC13973",2026-05-05,"UTC",1994,2,13,44,00:00:00,NA,"POINT(-81.79 24.57)","USMCOB-RC13973","USMCOB-RC13973-1",NA
"692","USMCOB","TAMPA BAY, FL",27.757,-82.555,NA,NA,NA,NA,NA,1994-09-25,"USM",2,"USMCOB-RC13973",2026-05-05,"UTC",1994,9,25,268,00:00:00,NA,"POINT(-82.555 27.757)","USMCOB-RC13973","USMCOB-RC13973-2",NA
"693","USMCOB","10 Mi N of Key West",24.709,-81.787,0.81,NA,"FL",0.9,"TL",1995-12-03,"USM",1,"USMCOB-RC13984",2026-05-05,"UTC",1995,12,3,337,00:00:00,NA,"POINT(-81.787 24.709)","USMCOB-RC13984","USMCOB-RC13984-1",NA
"694","USMCOB","Panama City Beach, FL",30.212,-85.88,0.84,NA,"FL",NA,NA,1996-04-29,"USM",2,"USMCOB-RC13984",2026-05-05,"UTC",1996,4,29,120,00:00:00,NA,"POINT(-85.88 30.212)","USMCOB-RC13984","USMCOB-RC13984-2",NA
"695","USMCOB","Destin, FL",30.38,-86.5,0.71,NA,"FL",0.76,"TL",1996-04-12,"USM",1,"USMCOB-RC14065",2026-05-05,"UTC",1996,4,12,103,00:00:00,NA,"POINT(-86.5 30.38)","USMCOB-RC14065","USMCOB-RC14065-1",NA
"696","USMCOB","30-04.46N 88-00.76W AL",30.074333,-88.012667,0.99,NA,"TL",NA,NA,1996-09-08,"USM",2,"USMCOB-RC14065",2026-05-05,"UTC",1996,9,8,252,00:00:00,NA,"POINT(-88.012667 30.074333)","USMCOB-RC14065","USMCOB-RC14065-2",NA
"697","USMCOB","Pensacola",30.315,-87.203,0.76,NA,"FL",NA,NA,1996-04-20,"USM",1,"USMCOB-RC14068",2026-05-05,"UTC",1996,4,20,111,00:00:00,NA,"POINT(-87.203 30.315)","USMCOB-RC14068","USMCOB-RC14068-1",NA
"698","USMCOB","Gas Buoy West Ship Island MS",30.228,-89.012,1.1,NA,"FL",1.22,"TL",1996-07-01,"USM",2,"USMCOB-RC14068",2026-05-05,"UTC",1996,7,1,183,00:00:00,NA,"POINT(-89.012 30.228)","USMCOB-RC14068","USMCOB-RC14068-2",NA
"699","USMCOB","SHIP ISLAND PASS, MS",30.118,-88.93,0.72,NA,"FL",0.81,"TL",1994-06-28,"USM",1,"USMCOB-RC14370",2026-05-05,"UTC",1994,6,28,179,00:00:00,NA,"POINT(-88.93 30.118)","USMCOB-RC14370","USMCOB-RC14370-1",NA
"700","USMCOB","60 Mi off Panama City, FL",29.496,-86.435,0.86,NA,"TL",NA,NA,1995-11-20,"USM",2,"USMCOB-RC14370",2026-05-05,"UTC",1995,11,20,324,00:00:00,NA,"POINT(-86.435 29.496)","USMCOB-RC14370","USMCOB-RC14370-2",NA
"701","USMCOB","Miss Too Nicey Wreck, Key W FL",24.5,-81.6,0.74,NA,"FL",0.84,"TL",1995-02-01,"USM",1,"USMCOB-RC14402",2026-05-05,"UTC",1995,2,1,32,00:00:00,NA,"POINT(-81.6 24.5)","USMCOB-RC14402","USMCOB-RC14402-1",NA
"702","USMCOB","Miss Too Nicey Wreck, Key W FL",24.5,-81.6,0.71,NA,"FL",0.79,"TL",1995-02-01,"USM",1,"USMCOB-RC14403",2026-05-05,"UTC",1995,2,1,32,00:00:00,NA,"POINT(-81.6 24.5)","USMCOB-RC14403","USMCOB-RC14403-1",NA
"703","USMCOB","Panama City Pier, FL",30.212,-85.88,0.85,NA,"TL",NA,NA,1995-04-25,"USM",2,"USMCOB-RC14403",2026-05-05,"UTC",1995,4,25,115,00:00:00,NA,"POINT(-85.88 30.212)","USMCOB-RC14403","USMCOB-RC14403-2",NA
"704","USMCOB","Northwest Channel, Key West FL",24.594,-81.856,0.76,NA,"FL",0.81,"TL",1995-03-01,"USM",1,"USMCOB-RC14408",2026-05-05,"UTC",1995,3,1,60,00:00:00,NA,"POINT(-81.856 24.594)","USMCOB-RC14408","USMCOB-RC14408-1",NA
"705","USMCOB","Cedar Key, FL",29.091613,-83.038337,0.89,NA,"TL",NA,NA,1995-04-15,"USM",2,"USMCOB-RC14408",2026-05-05,"UTC",1995,4,15,105,00:00:00,NA,"POINT(-83.038337 29.091613)","USMCOB-RC14408","USMCOB-RC14408-2",NA
"706","USMCOB","DAUPHIN ISLAND, AL",30.235,-88.18,0.69,NA,"FL",0.76,"TL",1993-04-30,"USM",1,"USMCOB-RC14523",2026-05-05,"UTC",1993,4,30,120,00:00:00,NA,"POINT(-88.18 30.235)","USMCOB-RC14523","USMCOB-RC14523-1",NA
"707","USMCOB","13 Mi S Sand Island, AL",29.997,-88.05,1.19,NA,"FL",1.32,"TL",1995-06-01,"USM",2,"USMCOB-RC14523",2026-05-05,"UTC",1995,6,1,152,00:00:00,NA,"POINT(-88.05 29.997)","USMCOB-RC14523","USMCOB-RC14523-2",NA
"708","USMCOB","PETIT BOIS RIGS, MS",30.115,-88.45,0.7,NA,"FL",0.8,"TL",1993-08-12,"USM",1,"USMCOB-RC14615",2026-05-05,"UTC",1993,8,12,224,00:00:00,NA,"POINT(-88.45 30.115)","USMCOB-RC14615","USMCOB-RC14615-1",NA
"709","USMCOB","36 MI. E. OF ST. AUGUSTINE, FL",29.915,-80.689,0.84,NA,"FL",0.94,"TL",1994-03-20,"USM",2,"USMCOB-RC14615",2026-05-05,"UTC",1994,3,20,79,00:00:00,NA,"POINT(-80.689 29.915)","USMCOB-RC14615","USMCOB-RC14615-2",NA
"710","USMCOB","Destin, FL",30.38,-86.5,0.88,NA,"FL",0.98,"TL",1995-04-18,"USM",1,"USMCOB-RC14707",2026-05-05,"UTC",1995,4,18,108,00:00:00,NA,"POINT(-86.5 30.38)","USMCOB-RC14707","USMCOB-RC14707-1",NA
"711","USMCOB","Main Pass #299, LA",29.27,-88.76,1.07,NA,"FL",NA,NA,1997-06-07,"USM",2,"USMCOB-RC14707",2026-05-05,"UTC",1997,6,7,158,00:00:00,NA,"POINT(-88.76 29.27)","USMCOB-RC14707","USMCOB-RC14707-2",NA
"712","USMCOB","3 MILES EAST NAVARRE, FL",30.378,-86.862,1.02,NA,"FL",1.09,"TL",1994-04-29,"USM",1,"USMCOB-RC14812",2026-05-05,"UTC",1994,4,29,119,00:00:00,NA,"POINT(-86.862 30.378)","USMCOB-RC14812","USMCOB-RC14812-1",NA
"713","USMCOB","OFF CHANDELEUR ISLANDS, LA",29.819,-88.836,1.02,NA,"FL",NA,NA,1994-09-11,"USM",2,"USMCOB-RC14812",2026-05-05,"UTC",1994,9,11,254,00:00:00,NA,"POINT(-88.836 29.819)","USMCOB-RC14812","USMCOB-RC14812-2",NA
"714","USMCOB","1 Mi W Navarre Beach Pier FL",30.378,-86.862,0.97,NA,"FL",1.04,"TL",1996-04-17,"USM",1,"USMCOB-RC14818",2026-05-05,"UTC",1996,4,17,108,00:00:00,NA,"POINT(-86.862 30.378)","USMCOB-RC14818","USMCOB-RC14818-1",NA
"715","USMCOB","Horn Island, MS",30.237,-88.686,1.08,NA,"TL",NA,NA,1996-05-22,"USM",2,"USMCOB-RC14818",2026-05-05,"UTC",1996,5,22,143,00:00:00,NA,"POINT(-88.686 30.237)","USMCOB-RC14818","USMCOB-RC14818-2",NA
